Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status
78,2004,2004-12-20,14,15,27,NWE,0,MIA,L 28-29,*,18,29,62.07,171,3,4,73.3,2,15,5.9,1.76,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
79,2004,2004-12-26,15,16,27,NWE,0,NYJ,W 23-7,*,21,32,65.63,264,2,0,112,1,6,8.25,9.5,4,3,0.75,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
80,2004,2005-01-02,16,17,27,NWE,,SFO,W 21-7,*,22,30,73.33,226,2,1,102.9,1,5,7.53,7.37,1,3,3,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
81,2005,2005-09-08,1,1,28,NWE,,OAK,W 30-20,*,24,38,63.16,306,2,0,105.8,0,0,8.05,9.11,3,-1,-0.33,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
82,2005,2005-09-18,2,2,28,NWE,0,CAR,L 17-27,*,23,44,52.27,270,1,1,69.3,2,21,6.14,5.57,0,0,,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
83,2005,2005-09-25,3,3,28,NWE,0,PIT,W 23-20,*,31,41,75.61,372,0,1,92.7,3,26,9.07,7.98,0,0,,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
84,2005,2005-10-02,4,4,28,NWE,,SDG,L 17-41,*,19,32,59.38,224,1,1,78.1,1,8,7,6.22,2,4,2,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
85,2005,2005-10-09,5,5,28,NWE,0,ATL,W 31-28,*,22,27,81.48,350,3,1,140.4,1,8,12.96,13.52,1,1,1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
86,2005,2005-10-16,6,6,28,NWE,0,DEN,L 20-28,*,24,46,52.17,299,1,0,79.9,0,0,6.5,6.93,1,12,12,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
87,2005,2005-10-30,7,8,28,NWE,,BUF,W 21-16,*,14,21,66.67,199,1,0,113,3,19,9.48,10.43,1,4,4,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
88,2005,2005-11-07,8,9,28,NWE,,IND,L 21-40,*,22,33,66.67,265,3,0,121.4,1,18,8.03,9.85,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,
89,2005,2005-11-13,9,10,28,NWE,0,MIA,W 23-16,*,21,36,58.33,275,2,2,77.9,2,1,7.64,6.25,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
90,2005,2005-11-20,10,11,28,NWE,,NOR,W 24-17,*,15,29,51.72,222,3,0,111.6,3,28,7.66,9.72,1,5,5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
91,2005,2005-11-27,11,12,28,NWE,0,KAN,L 16-26,*,22,40,55,248,1,4,42.5,3,16,6.2,2.2,1,15,15,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
92,2005,2005-12-04,12,13,28,NWE,,NYJ,W 16-3,*,27,37,72.97,271,0,0,93.4,2,20,7.32,7.32,4,19,4.75,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
93,2005,2005-12-11,13,14,28,NWE,0,BUF,W 35-7,*,29,38,76.32,329,2,2,97.4,1,1,8.66,7.34,4,17,4.25,1,0,0,0,,0,0.00%,,1,6,0,,0,0,0,0,0,0,,0,,,,,,,
94,2005,2005-12-17,14,15,28,NWE,,TAM,W 28-0,*,20,31,64.52,258,3,0,122.8,1,5,8.32,10.26,3,6,2,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
95,2005,2005-12-26,15,16,28,NWE,0,NYJ,W 31-21,*,18,29,62.07,185,2,1,89,3,17,6.38,6.21,3,7,2.33,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
96,2005,2006-01-01,16,17,28,NWE,,MIA,L 26-28,*,3,8,37.5,37,1,1,52.6,0,0,4.63,1.5,1,2,2,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
97,2006,2006-09-10,1,1,29,NWE,,BUF,W 19-17,*,11,23,47.83,163,2,1,82.3,3,27,7.09,6.87,5,3,0.6,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,0,0,0,0,,0,,,,,,,
98,2006,2006-09-17,2,2,29,NWE,0,NYJ,W 24-17,*,15,29,51.72,220,1,1,73.9,1,9,7.59,6.72,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,
99,2006,2006-09-24,3,3,29,NWE,,DEN,L 7-17,*,31,55,56.36,320,1,0,79.4,0,0,5.82,6.18,2,7,3.5,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
100,2006,2006-10-01,4,4,29,NWE,0,CIN,W 38-13,*,15,26,57.69,188,2,1,89.9,0,0,7.23,7.04,2,21,10.5,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
101,2006,2006-10-08,5,5,29,NWE,,MIA,W 20-10,*,16,29,55.17,140,2,0,91.2,1,6,4.83,6.21,4,-3,-0.75,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,
102,2006,2006-10-22,6,7,29,NWE,0,BUF,W 28-6,*,18,27,66.67,195,2,0,112.4,4,24,7.22,8.7,2,2,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,
103,2006,2006-10-30,7,8,29,NWE,0,MIN,W 31-7,*,29,43,67.44,372,4,1,115.6,3,27,8.65,9.47,1,1,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,
104,2006,2006-11-05,8,9,29,NWE,,IND,L 20-27,*,20,35,57.14,201,0,4,34,0,0,5.74,0.6,3,13,4.33,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
105,2006,2006-11-12,9,10,29,NWE,,NYJ,L 14-17,*,24,36,66.67,253,1,1,84.6,4,21,7.03,6.33,0,0,,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,
106,2006,2006-11-19,10,11,29,NWE,0,GNB,W 35-0,*,20,31,64.52,244,4,0,128.2,1,4,7.87,10.45,4,6,1.5,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,-2,0,0,0,,0,,,,,,,
107,2006,2006-11-26,11,12,29,NWE,,CHI,W 17-13,*,22,33,66.67,267,1,2,76.2,0,0,8.09,5.97,6,12,2,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
108,2006,2006-12-03,12,13,29,NWE,,DET,W 28-21,*,27,38,71.05,305,0,1,83.8,2,21,8.03,6.84,6,9,1.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,
109,2006,2006-12-10,13,14,29,NWE,0,MIA,L 0-21,*,12,25,48,78,0,0,55.1,4,20,3.12,3.12,0,0,,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,0,0,0,0,,0,,,,,,,
110,2006,2006-12-17,14,15,29,NWE,,HOU,W 40-7,*,16,23,69.57,109,2,0,108.8,1,4,4.74,6.48,2,2,1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
111,2006,2006-12-24,15,16,29,NWE,0,JAX,W 24-21,*,28,39,71.79,249,1,0,97.1,1,7,6.38,6.9,10,31,3.1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
112,2006,2006-12-31,16,17,29,NWE,0,TEN,W 40-23,*,15,24,62.5,225,1,0,107.1,1,5,9.38,10.21,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
113,2007,2007-09-09,1,1,30,NWE,0,NYJ,W 38-14,*,22,28,78.57,297,3,0,146.6,0,0,10.61,12.75,1,4,4,0,0,0,0,,0,0.00%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,
