Rk,Year,Date,G#,Week,Age,Tm,Home,Opp,Cmp,Att,Cmp%,Yds,TD_left,Int,Rate,Sk,Sk_Yds,Y/A,AY/A,Ru_Att,Ru_Yds,Ru_Y/A,Ru_TB,Re_Tgt,Re_Rec,Re_Yds,Re_Y/R,Re_TD,Re_Ctch%,Re_Y/Tgt,Total_NP_TD,Pts,Fmb,FL,Dome,Total,RANK,NAME,PTS,FPTS,SACKS,INT,TO,PTS.1,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD_right,RZ ATT,RZ TD,RZ TD%,1D,3D%,4D%
308.0,2019,2019-09-29,4.0,4.0,42.056999999999995,NWE,0.0,BUF,18.0,39.0,46.15,150.0,0.0,1.0,45.9,0.0,0.0,3.85,2.69,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,3.7,2,BUF,2,857,44,14,23,259,985,4772,3123,553,348,15,1649,388,12,30,43,24,55.8,295,35.8,38.1
319.0,2019,2019-12-21,15.0,16.0,42.14,NWE,1.0,BUF,26.0,33.0,78.79,271.0,1.0,0.0,111.0,0.0,0.0,8.21,8.82,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,15.24,2,BUF,2,857,44,14,23,259,985,4772,3123,553,348,15,1649,388,12,30,43,24,55.8,295,35.8,38.1
309.0,2019,2019-10-06,5.0,5.0,42.06399999999999,NWE,0.0,WAS,28.0,42.0,66.67,348.0,3.0,1.0,106.1,4.0,36.0,8.29,8.64,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,23.92,27,WAS,0,1282,46,13,22,435,1079,6162,3823,540,371,35,2339,493,14,52,59,36,61.0,354,48.9,63.2
310.0,2019,2019-10-10,6.0,6.0,42.068000000000005,NWE,1.0,NYG,31.0,41.0,75.61,334.0,0.0,1.0,88.9,3.0,21.0,8.15,7.05,7.0,6.0,0.86,2.0,0.0,0.0,0.0,,0.0,,,2.0,12.0,2.0,1.0,0,23.96,30,NYG,14,1281,36,10,16,451,1061,6037,4225,556,369,30,1812,469,19,54,54,31,57.4,343,39.8,57.1
312.0,2019,2019-10-27,8.0,8.0,42.085,NWE,1.0,CLE,20.0,36.0,55.56,259.0,2.0,0.0,96.9,3.0,20.0,7.19,8.31,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,18.36,20,CLE,6,1158,38,14,20,393,1014,5785,3470,513,318,25,2315,463,19,46,57,35,61.4,345,37.9,35.3
313.0,2019,2019-11-03,9.0,9.0,42.092,NWE,0.0,BAL,30.0,46.0,65.22,285.0,1.0,1.0,80.4,2.0,17.0,6.2,5.65,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,0,13.4,3,BAL,38,893,37,13,25,282,921,4809,3315,544,318,15,1494,340,12,29,44,21,47.7,276,37.1,33.3
314.0,2019,2019-11-17,10.0,11.0,42.106,NWE,0.0,PHI,26.0,47.0,55.32,216.0,0.0,0.0,67.3,1.0,7.0,4.6,4.6,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,8.540000000000001,15,PHI,18,1101,43,11,20,354,967,5307,3865,571,348,27,1442,353,13,41,43,24,55.8,289,34.1,61.1
315.0,2019,2019-11-24,11.0,12.0,42.113,NWE,1.0,DAL,17.0,37.0,45.95,190.0,1.0,0.0,70.8,2.0,9.0,5.14,5.68,2.0,-3.0,-1.5,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,1,12.299999999999999,11,DAL,6,1037,39,7,17,321,1015,5232,3576,569,370,21,1656,407,14,35,57,29,50.9,327,33.3,45.5
316.0,2019,2019-12-01,12.0,13.0,42.12,NWE,0.0,HOU,24.0,47.0,51.06,326.0,3.0,1.0,85.9,3.0,23.0,6.94,7.26,1.0,13.0,13.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,25.34,19,HOU,12,1259,31,12,22,385,1020,6213,4276,586,375,33,1937,403,12,46,49,35,71.4,346,48.5,43.8
317.0,2019,2019-12-08,13.0,14.0,42.126999999999995,NWE,1.0,KAN,19.0,36.0,52.78,169.0,1.0,1.0,63.3,3.0,20.0,4.69,4.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,10.76,7,KAN,18,1041,45,16,23,308,1043,5594,3543,582,352,21,2051,416,14,36,57,29,50.9,344,37.1,51.6
318.0,2019,2019-12-15,14.0,15.0,42.13399999999999,NWE,0.0,CIN,15.0,29.0,51.72,128.0,2.0,0.0,86.6,2.0,12.0,4.41,5.79,2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,12.920000000000002,25,CIN,2,1244,31,11,16,420,1034,6299,3917,499,308,25,2382,504,17,47,51,25,49.0,328,42.6,50.0
321.0,2020,2020-09-13,1.0,1.0,43.041000000000004,TAM,0.0,NOR,23.0,36.0,63.89,239.0,2.0,2.0,78.4,3.0,15.0,6.64,5.25,3.0,9.0,3.0,1.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,1.0,0.0,1,21.46,5,NOR,6,129,45,18,26,346,992,4974,3472,557,333,28,1502,390,11,39,50,34,68.0,320,38.2,53.3
329.0,2020,2020-11-08,9.0,9.0,43.097,TAM,1.0,NOR,22.0,38.0,57.89,209.0,0.0,3.0,40.4,3.0,23.0,5.5,1.95,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,3.3599999999999994,5,NOR,6,129,45,18,26,346,992,4974,3472,557,333,28,1502,390,11,39,50,34,68.0,320,38.2,53.3
322.0,2020,2020-09-20,2.0,2.0,43.048,TAM,1.0,CAR,23.0,35.0,65.71,217.0,1.0,1.0,80.3,0.0,0.0,6.2,5.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,1.0,0,10.68,18,CAR,18,87,29,7,22,415,1022,5761,3825,585,398,28,1936,408,17,46,57,36,63.2,360,49.2,60.0
330.0,2020,2020-11-15,10.0,10.0,43.104,TAM,0.0,CAR,28.0,39.0,71.79,341.0,3.0,0.0,124.0,1.0,7.0,8.74,10.28,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,0.0,0.0,0,31.84,18,CAR,18,87,29,7,22,415,1022,5761,3825,585,398,28,1936,408,17,46,57,36,63.2,360,49.2,60.0
323.0,2020,2020-09-27,3.0,3.0,43.055,TAM,0.0,DEN,25.0,38.0,65.79,297.0,3.0,0.0,115.8,2.0,12.0,7.82,9.39,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,0,23.880000000000003,25,DEN,0,73,42,10,16,452,1043,5887,3807,567,374,21,2080,434,22,44,61,29,47.5,333,40.2,50.0
324.0,2020,2020-10-04,4.0,4.0,43.062,TAM,1.0,LAC,30.0,46.0,65.22,369.0,5.0,1.0,117.0,0.0,0.0,8.02,9.22,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,33.46,22,LAC,14,73,27,12,19,431,997,5495,3578,543,340,29,1917,427,17,47,55,32,58.2,324,43.6,66.7
325.0,2020,2020-10-08,5.0,5.0,43.066,TAM,0.0,CHI,25.0,41.0,60.98,253.0,1.0,0.0,86.7,3.0,20.0,6.17,6.66,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,0,14.12,12,CHI,8,91,35,10,18,379,1020,5519,3705,547,350,28,1814,438,11,39,53,29,54.7,331,38.1,59.1
326.0,2020,2020-10-18,6.0,6.0,43.076,TAM,1.0,GNB,17.0,27.0,62.96,166.0,2.0,0.0,104.9,0.0,0.0,6.15,7.63,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,14.64,15,GNB,14,95,41,11,18,382,974,5344,3539,536,346,23,1805,397,16,41,52,30,57.7,332,39.5,58.3
327.0,2020,2020-10-25,7.0,7.0,43.083,TAM,0.0,LVR,33.0,45.0,73.33,369.0,4.0,0.0,127.0,0.0,0.0,8.2,9.98,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,0.0,0.0,1,37.86,29,LVR,0,36,21,10,15,490,1039,6225,4212,580,370,28,2013,438,24,52,68,42,61.8,381,48.8,82.4
328.0,2020,2020-11-02,8.0,8.0,43.091,TAM,0.0,NYG,28.0,40.0,70.0,279.0,2.0,0.0,106.1,2.0,16.0,6.98,7.98,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,19.06,8,NYG,12,101,40,11,22,367,1046,5589,3807,574,388,22,1782,432,14,37,59,30,50.8,353,44.6,61.1
